32055654282,"HERITAGE INN NUMBER XVI. OPCO, L.L.C.             ","PO BOX 9118                             ","FARGO               ","ND","58106",000,00001,"ABILENE FAIRFIELD INN & SUITES                    ","3902 TURNER PLZ                         ","ABILENE             ","TX","79606",221,   71,    104200.20,     89110.56
32055654274,"HERITAGE INN NUMBER XVII. OPCO, L.L.C.            ","PO BOX 9118                             ","FARGO               ","ND","58106",000,00001,"ABILENE HAMPTON INN                               ","3917 RIDGEMONT DR                       ","ABILENE             ","TX","79606",221,   63,    166177.82,    153870.10
17416803728,"PARKS AND WILDLIFE DEPARTMENT                     ","4200 SMITH SCHOOL RD                    ","AUSTIN              ","TX","78744",227,00124,"ABILENE STATE PARK                                ","150 PARK ROAD 32                        ","TUSCOLA             ","TX","79562",221,    3,      2825.00,      2825.00
32057140710,"PERFECT ARLINGTON INVESTMENTS, LLC                ","4220 INDEPENDENCE DR                    ","DALLAS              ","TX","75237",057,00001,"ABRAM INN                                         ","3020 E ABRAM ST                         ","ARLINGTON           ","TX","76010",220,   36,     27101.03,     16937.13
32019991234,"RYSON REAL ESTATE HOLDINGS LLC                    ","2115 61ST ST STE 101                    ","GALVESTON           ","TX","77551",084,00249,"ABSOLUTE PARADISE                                 ","7000 SEAWALL BLVD APT 1031              ","GALVESTON           ","TX","77551",084,    1,      3031.34,      3031.34
32016597695,"SHELLYE_ARNOLD AND TINA SABUCO                    ","859 AZALEA ST                           ","HOUSTON             ","TX","77018",101,00001,"ABUNDANCE--A HILL COUNTRY RIVER RETREAT           ","330 MILL RACE LN                        ","WIMBERLEY           ","TX","78676",105,    4,      7565.00,      7565.00
32053629153,"DHM HOSPITALITY, LLC                              ","2001 BROADSTONE DR                      ","PLANO               ","TX","75025",043,00001,"ABV INN OF CORPUS CHRISTI                         ","910 CORN PRODUCT RD                     ","CORPUS CHRISTI      ","TX","78409",178,  160,    116371.30,     91241.67
11135895297,"SHP-THE CALLAWAY HOUSE L.P.                       ","305 MARION PUGH DR                      ","COLLEGE STA         ","TX","77840",021,00002,"ACC OP CALLAWAY VILLAS LP                         ","305 MARION PUGH DR                      ","COLLEGE STATION     ","TX","77840",021,    1,      4900.00,      4900.00
32016602719,"BHAKTA DAYARAM                                    ","2627 MANOR RD                           ","AUSTIN              ","TX","78722",227,00001,"ACE MOTEL                                         ","2627 MANOR RD                           ","AUSTIN              ","TX","78722",227,   27,     23289.00,     20252.00
32025171573,"TAMMY J SIKES                                     ","223 E MAIN ST                           ","FREDERICKSBRG       ","TX","78624",086,00014,"ACE OF HEARTS  THERESA SKOLOSS)                   ","469 OAK HAVEN RD                        ","FREDERICKSBURG      ","TX","78624",086,    1,      2637.00,      2637.00
17706933128,"ACK HOTELS, LP                                    ","6861 W US HIGHWAY 90                    ","SAN ANTONIO         ","TX","78227",015,00001,"ACK HOTELS LP                                     ","6861 W US HIGHWAY 90                    ","SAN ANTONIO         ","TX","78227",015,   93,     36980.13,     36980.13
32025171573,"TAMMY J SIKES                                     ","223 E MAIN ST                           ","FREDERICKSBRG       ","TX","78624",086,00065,"ACORN B&B (STEPHANIE TUCKER)                      ","209 N ACORN ST                          ","FREDERICKSBURG      ","TX","78624",086,    1,      3126.00,      3126.00
12023601276,"BACKROADS TEXAS, LLC                              ","PO BOX 967                              ","BANDERA             ","TX","78003",010,00057,"ACORN BED AND BREAKFAST                           ","107 STATE HIGHWAY 46 W                  ","BOERNE              ","TX","78006",130,    1,       555.00,       555.00
32025171573,"TAMMY J SIKES                                     ","223 E MAIN ST                           ","FREDERICKSBRG       ","TX","78624",086,00118,"ACORN COTTAGE                                     ","416 N ACORN ST                          ","FREDERICKSBURG      ","TX","78624",086,    1,      4239.00,      4239.00
12016756319,"GOURMET HOLDINGS OF FREDERICKSBURG, L.P.          ","108 N ACORN ST                          ","FREDERICKSBRG       ","TX","78624",086,00020,"ACROSS THE WAY                                    ","211 W TRAVIS ST                         ","FREDERICKSBURG      ","TX","78624",086,    4,     10575.00,     10575.00
32016658448,"SIDNEY CORINNE LOCK                               ","4300 AVENUE G                           ","AUSTIN              ","TX","78751",227,00005,"ADAMS HOUSE BED & BREAKFAST                       ","4300 AVENUE G                           ","AUSTIN              ","TX","78751",227,    3,     24799.50,     23940.00
32025171573,"TAMMY J SIKES                                     ","223 E MAIN ST                           ","FREDERICKSBRG       ","TX","78624",086,00015,"ADAMS/TRAVIS (PAM BERGMAN)                        ","303 N ADAMS ST                          ","FREDERICKSBURG      ","TX","78624",086,    1,      4479.20,      4479.20
18611022726,"VNC, INC.                                         ","4005 BELT LINE RD                       ","ADDISON             ","TX","75001",057,00001,"ADDISON INN                                       ","4005 BELT LINE RD                       ","ADDISON             ","TX","75001",057,   60,     43207.03,     20064.03
12019851414,"CC RELIABLE BUSINESS SERVICES, INC.               ","PO BOX 181295                           ","CORPUS CHRISTI      ","TX","78480",178,00102,"ADH825.221                                        ","14825 WINDWARD DR APT 221               ","CORPUS CHRISTI      ","TX","78418",178,    1,         0.00,         0.00
32024760251,"GALVESTON ISLAND REAL ESTATE, L.L.C.              ","16602 TERMINI SAN LUIS PASS RD          ","GALVESTON           ","TX","77554",084,00072,"ADMIRALS LOOKOUT                                  ","11610 BEACHSIDE                         ","GALVESTON           ","TX","77554",084,    1,      9138.00,      9138.00
32038271337,"PORT ARANSAS ESCAPES LLC                          ","1900 STATE HIGHWAY 361                  ","PORT ARANSAS        ","TX","78373",178,00102,"ADMIRALS QUARTERS 103PB                           ","2212 STATE HIGHWAY 361 UNIT 103         ","PORT ARANSAS        ","TX","78373",178,    1,       880.00,       880.00
32037291005,"RANA INC.                                         ","10559 LANGMUIR AVE                      ","SUNLAND             ","CA","91040",000,00001,"ADOBE INN MOTEL                                   ","1591 FM 1110 RD                         ","CLINT               ","TX","79836",071,   21,     18210.00,     13218.00
32055394038,"ANDERVANT OPERATIONS LLC                          ","13600 RANCH ROAD 12 STE B               ","WIMBERLEY           ","TX","78676",105,00070,"ADOBE RIVER SANCTUARY                             ","200 SOUTHRIVER                          ","WIMBERLEY           ","TX","78676",105,    1,         0.00,         0.00
14504716219,"CRESCENT HOTELS & RESORTS LLC                     ","10306 EATON PL STE 430                  ","FAIRFAX             ","VA","22030",000,00005,"ADOLPHUS                                          ","1321 COMMERCE ST                        ","DALLAS              ","TX","75202",057,  422,    648423.00,    615070.00
13201386706,"JAIROSH ENTERPRISES, INC.                         ","804 W INTERSTATE 20                     ","BIG SPRING          ","TX","79720",114,00001,"ADVANTAGE INN & SUITES                            ","804 W INTERSTATE 20                     ","BIG SPRING          ","TX","79720",114,   52,     70769.29,     16681.59
12019851414,"CC RELIABLE BUSINESS SERVICES, INC.               ","PO BOX 181295                           ","CORPUS CHRISTI      ","TX","78480",178,00141,"ADV300.119                                        ","14300 ALOHA ST APT 119                  ","CORPUS CHRISTI      ","TX","78418",178,    1,       550.00,       550.00
32016093760,"DEBBIE A GREGORY                                  ","834 MITCHELL ST                         ","GONZALES            ","TX","78629",089,00004,"AFFINITY RETREAT                                  ","2000 PUMP STATION RD                    ","WIMBERLY            ","TX","78676",105,    1,      2075.00,      2075.00
32048372182,"PICTURESQUE PROPERTIES, LLC                       ","5601 BLUE RIDGE DR                      ","COLLEGE STA         ","TX","77845",021,00016,"AGGIELAND LOOKOUT                                 ","100 PERSHING AVE                        ","COLLEGE STATION     ","TX","77840",021,    1,      1500.00,      1500.00
